"id","code","name","miningSiteId","dumpingType","isActive","capacity","currentStock","latitude","longitude","createdAt","updatedAt"
"cmhsbjmg001uqmaftrwuy07wi","DP-0001","CRUSHER 1","cmhsbjl0u00gpmaftj3rk01bv","CRUSHER",true,60961.14987007864,41994.28807515042,-3.196594267198524,118.485510744067,"2025-11-09T23:02:34.080Z","2025-11-09T23:02:34.080Z"
"cmhsbjmg401usmaftu2jq90q3","DP-0002","STOCKPILE 2","cmhsbjl0x00gqmaft1ztvtcf4","STOCKPILE",true,64531.0061836245,8567.585642994301,-3.242067126697012,118.0866995792755,"2025-11-09T23:02:34.085Z","2025-11-09T23:02:34.085Z"
"cmhsbjmg601uumaft42kwmk11","DP-0003","ROM_STOCKPILE 3","cmhsbjl0z00grmaft8ghpksnm","ROM_STOCKPILE",true,90513.73433242712,13219.22211111601,-4.051454004737154,118.6656320435292,"2025-11-09T23:02:34.087Z","2025-11-09T23:02:34.087Z"
"cmhsbjmg801uwmafti3jw5b7c","DP-0004","ROM_STOCKPILE 4","cmhsbjl1100gsmaftbhyvoaql","ROM_STOCKPILE",true,22440.81570817357,42427.10748577129,-4.195457567698177,117.2678454914662,"2025-11-09T23:02:34.088Z","2025-11-09T23:02:34.088Z"
"cmhsbjmga01uymaftc5iay4xs","DP-0005","WASTE_DUMP 5","cmhsbjl1400gumafto23cygtg","WASTE_DUMP",true,50556.19974730755,21541.96363773342,-3.890249160749574,118.8715661014579,"2025-11-09T23:02:34.090Z","2025-11-09T23:02:34.090Z"
"cmhsbjmgb01v0mafthuqheglj","DP-0006","STOCKPILE 6","cmhsbjl1700gvmaftc22m7b8w","STOCKPILE",true,56740.45549994199,13855.04417977233,-3.749165569558518,115.0243182663301,"2025-11-09T23:02:34.092Z","2025-11-09T23:02:34.092Z"
"cmhsbjmgd01v2maftwtnotd11","DP-0007","WASTE_DUMP 7","cmhsbjl1900gwmaftm5drlqmo","WASTE_DUMP",true,32787.43472162391,19326.69084999009,-4.87399349957121,116.2534470770222,"2025-11-09T23:02:34.094Z","2025-11-09T23:02:34.094Z"
"cmhsbjmgf01v4maftqhic767o","DP-0008","PORT 8","cmhsbjl1a00gxmaft0h27nqun","PORT",true,69097.08997909627,11105.19063365655,-3.835717806060003,117.8547681330989,"2025-11-09T23:02:34.095Z","2025-11-09T23:02:34.095Z"
"cmhsbjmgg01v6maftx8gc06kl","DP-0009","CRUSHER 9","cmhsbjl1b00gymaftedq8fug3","CRUSHER",false,94450.06092030383,11724.1253530965,-3.15289540303195,116.8679390677765,"2025-11-09T23:02:34.097Z","2025-11-09T23:02:34.097Z"
"cmhsbjmgi01v8maftjjs9g2hz","DP-0010","WASTE_DUMP 10","cmhsbjl1d00gzmafto4svpike","WASTE_DUMP",false,57257.71038150368,9560.616315799642,-3.379361606858332,117.8510957749745,"2025-11-09T23:02:34.099Z","2025-11-09T23:02:34.099Z"
"cmhsbjmgk01vamafto9cex629","DP-0011","CRUSHER 11","cmhsbjl1g00h1maft4q16yppp","CRUSHER",true,90978.08986587152,37584.50050277066,-3.092352512176049,117.5549206834379,"2025-11-09T23:02:34.101Z","2025-11-09T23:02:34.101Z"
"cmhsbjmgm01vcmaftk3jv0m19","DP-0012","ROM_STOCKPILE 12","cmhsbjl1h00h2mafturga9u4d","ROM_STOCKPILE",false,35785.28987942974,36217.85966273899,-3.018693634005614,115.0977677969997,"2025-11-09T23:02:34.103Z","2025-11-09T23:02:34.103Z"
"cmhsbjmgo01vemaftot256h2b","DP-0013","STOCKPILE 13","cmhsbjl1j00h3mafttffh0qnq","STOCKPILE",true,52416.24106602998,8678.669427484165,-5.39444120233045,117.3411976092486,"2025-11-09T23:02:34.104Z","2025-11-09T23:02:34.104Z"
"cmhsbjmgq01vgmaftxugwu8nu","DP-0014","STOCKPILE 14","cmhsbjl1m00h5maftuweaz7e1","STOCKPILE",true,22168.52006940035,43162.7194219007,-3.926304706963604,119.3027109322157,"2025-11-09T23:02:34.106Z","2025-11-09T23:02:34.106Z"
"cmhsbjmgr01vimaft4hw6o7t7","DP-0015","WASTE_DUMP 15","cmhsbjl1o00h6maft2ml9nlyo","WASTE_DUMP",true,59501.91769543633,25356.8151769334,-3.898729429583115,115.5195136598853,"2025-11-09T23:02:34.108Z","2025-11-09T23:02:34.108Z"
"cmhsbjmgt01vkmaft5hcdkhsd","DP-0016","ROM_STOCKPILE 16","cmhsbjl1p00h7maftta3pqqc4","ROM_STOCKPILE",true,33438.57590077772,2050.605211852585,-2.858452736470113,118.8899672230813,"2025-11-09T23:02:34.109Z","2025-11-09T23:02:34.109Z"
"cmhsbjmgu01vmmaftmw64wrar","DP-0017","WASTE_DUMP 17","cmhsbjl1r00h8maftw8zqvyqt","WASTE_DUMP",true,77794.34812579153,42776.59687912399,-4.326840947131759,115.3298381620563,"2025-11-09T23:02:34.110Z","2025-11-09T23:02:34.110Z"
"cmhsbjmgv01vomaft101d8xu8","DP-0018","CRUSHER 18","cmhsbjl1s00h9maft2ncfpqeo","CRUSHER",true,53260.02925303017,3842.014063887389,-4.428427244368126,116.5151338421509,"2025-11-09T23:02:34.112Z","2025-11-09T23:02:34.112Z"
"cmhsbjmgw01vqmafts916hrka","DP-0019","STOCKPILE 19","cmhsbjl1t00hamaftvtke5hml","STOCKPILE",true,46610.1510036601,45332.06481714239,-3.926708556834217,118.8432672979497,"2025-11-09T23:02:34.113Z","2025-11-09T23:02:34.113Z"
"cmhsbjmgy01vsmaftvo1t210m","DP-0020","CRUSHER 20","cmhsbjl1u00hbmafttu8nqeo1","CRUSHER",true,74772.9757456741,44404.15143655658,-4.817701404776481,118.7268019610952,"2025-11-09T23:02:34.114Z","2025-11-09T23:02:34.114Z"
"cmhsbjmh101vumaftjnke77tj","DP-0021","PORT 21","cmhsbjl1w00hcmaftnzwtim5i","PORT",true,69725.33201861207,16372.2711323429,-4.641420542144176,119.7656393506154,"2025-11-09T23:02:34.117Z","2025-11-09T23:02:34.117Z"
